iter,maps,reduces,executors,rdd_load_in_s,rdd_work_in_s,avg_reduce_s,twh_reduce_s,iter_total_s,mapreduce_s,avg_count,twh_count,overall_avg_load,overall_total_work_Wh
1,10,2,1,0.0,0.0,3.948,3.426,7.374,7.374,1956,40,26.680852,173.804
2,10,2,1,0.0,0.0,2.881,3.176,6.058,6.058,1956,40,26.680852,173.804
3,10,2,1,0.0,0.0,2.863,2.988,5.851,5.851,1956,40,26.680852,173.804
4,10,2,1,0.0,0.0,2.657,3.085,5.742,5.742,1956,40,26.680852,173.804
5,10,2,1,0.0,0.0,2.76,2.826,5.585,5.585,1956,40,26.680852,173.804
6,10,2,1,0.0,0.0,2.788,2.844,5.633,5.633,1956,40,26.680852,173.804
7,10,2,1,0.0,0.0,2.714,2.891,5.605,5.605,1956,40,26.680852,173.804
8,10,2,1,0.0,0.0,2.633,2.816,5.448,5.448,1956,40,26.680852,173.804
9,10,2,1,0.0,0.0,2.645,2.871,5.516,5.516,1956,40,26.680852,173.804
10,10,2,1,0.0,0.0,2.556,2.9,5.456,5.456,1956,40,26.680852,173.804
11,10,2,1,0.0,0.0,2.661,2.954,5.615,5.615,1956,40,26.680852,173.804
12,10,2,1,0.0,0.0,2.664,2.885,5.549,5.549,1956,40,26.680852,173.804
13,10,2,1,0.0,0.0,2.537,2.888,5.426,5.426,1956,40,26.680852,173.804
14,10,2,1,0.0,0.0,2.652,2.817,5.469,5.469,1956,40,26.680852,173.804
15,10,2,1,0.0,0.0,2.534,2.742,5.277,5.277,1956,40,26.680852,173.804
16,10,2,1,0.0,0.0,2.643,2.771,5.414,5.414,1956,40,26.680852,173.804
17,10,2,1,0.0,0.0,2.616,2.733,5.349,5.349,1956,40,26.680852,173.804
18,10,2,1,0.0,0.0,2.532,2.685,5.217,5.217,1956,40,26.680852,173.804
19,10,2,1,0.0,0.0,2.621,2.734,5.354,5.354,1956,40,26.680852,173.804
20,10,2,1,0.0,0.0,2.554,2.932,5.487,5.487,1956,40,26.680852,173.804
