iter,maps,reduces,executors,rdd_load_in_s,rdd_work_in_s,avg_reduce_s,twh_reduce_s,iter_total_s,mapreduce_s,avg_count,twh_count,overall_avg_load,overall_total_work_Wh
1,10,2,1,0.0,0.0,4.409,3.654,8.063,8.063,1956,40,26.680852,173.804
2,10,2,1,0.0,0.0,3.156,3.44,6.596,6.596,1956,40,26.680852,173.804
3,10,2,1,0.0,0.0,2.855,3.246,6.101,6.101,1956,40,26.680852,173.804
4,10,2,1,0.0,0.0,2.829,3.008,5.837,5.837,1956,40,26.680852,173.804
5,10,2,1,0.0,0.0,2.769,3.299,6.068,6.068,1956,40,26.680852,173.804
6,10,2,1,0.0,0.0,2.995,2.989,5.984,5.984,1956,40,26.680852,173.804
7,10,2,1,0.0,0.0,2.848,3.052,5.9,5.9,1956,40,26.680852,173.804
8,10,2,1,0.0,0.0,2.647,3.087,5.734,5.734,1956,40,26.680852,173.804
9,10,2,1,0.0,0.0,2.934,2.938,5.872,5.872,1956,40,26.680852,173.804
10,10,2,1,0.0,0.0,2.606,2.861,5.467,5.467,1956,40,26.680852,173.804
11,10,2,1,0.0,0.0,2.726,2.986,5.712,5.712,1956,40,26.680852,173.804
12,10,2,1,0.0,0.0,2.627,2.863,5.491,5.491,1956,40,26.680852,173.804
13,10,2,1,0.0,0.0,2.656,2.835,5.491,5.491,1956,40,26.680852,173.804
14,10,2,1,0.0,0.0,2.672,2.802,5.474,5.474,1956,40,26.680852,173.804
15,10,2,1,0.0,0.0,2.735,2.975,5.711,5.711,1956,40,26.680852,173.804
16,10,2,1,0.0,0.0,2.644,2.806,5.451,5.451,1956,40,26.680852,173.804
17,10,2,1,0.0,0.0,2.622,2.92,5.543,5.543,1956,40,26.680852,173.804
18,10,2,1,0.0,0.0,2.641,2.755,5.396,5.396,1956,40,26.680852,173.804
19,10,2,1,0.0,0.0,2.55,2.67,5.22,5.22,1956,40,26.680852,173.804
20,10,2,1,0.0,0.0,2.779,2.815,5.594,5.594,1956,40,26.680852,173.804
21,10,2,1,0.0,0.0,2.696,2.923,5.619,5.619,1956,40,26.680852,173.804
22,10,2,1,0.0,0.0,2.6,2.784,5.386,5.386,1956,40,26.680852,173.804
23,10,2,1,0.0,0.0,2.689,2.623,5.312,5.312,1956,40,26.680852,173.804
24,10,2,1,0.0,0.0,2.389,2.794,5.183,5.183,1956,40,26.680852,173.804
25,10,2,1,0.0,0.0,2.508,2.752,5.259,5.259,1956,40,26.680852,173.804
26,10,2,1,0.0,0.0,2.611,2.783,5.394,5.394,1956,40,26.680852,173.804
27,10,2,1,0.0,0.0,2.558,2.854,5.411,5.411,1956,40,26.680852,173.804
28,10,2,1,0.0,0.0,2.568,2.689,5.257,5.257,1956,40,26.680852,173.804
29,10,2,1,0.0,0.0,2.789,2.67,5.459,5.459,1956,40,26.680852,173.804
