iter,maps,reduces,executors,rdd_load_in_s,rdd_work_in_s,avg_reduce_s,twh_reduce_s,iter_total_s,mapreduce_s,avg_count,twh_count,overall_avg_load,overall_total_work_Wh
1,10,2,1,0.0,0.0,3.944,3.5,7.444,7.444,1956,40,26.680852,173.804
2,10,2,1,0.0,0.0,2.945,3.174,6.119,6.119,1956,40,26.680852,173.804
3,10,2,1,0.0,0.0,2.723,3.039,5.763,5.763,1956,40,26.680852,173.804
4,10,2,1,0.0,0.0,2.764,2.826,5.59,5.59,1956,40,26.680852,173.804
5,10,2,1,0.0,0.0,2.507,2.844,5.351,5.351,1956,40,26.680852,173.804
6,10,2,1,0.0,0.0,2.686,2.861,5.547,5.547,1956,40,26.680852,173.804
7,10,2,1,0.0,0.0,2.711,2.891,5.602,5.602,1956,40,26.680852,173.804
8,10,2,1,0.0,0.0,2.634,2.761,5.395,5.395,1956,40,26.680852,173.804
9,10,2,1,0.0,0.0,2.583,2.786,5.369,5.369,1956,40,26.680852,173.804
10,10,2,1,0.0,0.0,2.529,2.815,5.343,5.343,1956,40,26.680852,173.804
11,10,2,1,0.0,0.0,2.459,2.921,5.38,5.38,1956,40,26.680852,173.804
12,10,2,1,0.0,0.0,2.67,2.814,5.484,5.484,1956,40,26.680852,173.804
13,10,2,1,0.0,0.0,2.659,2.57,5.23,5.23,1956,40,26.680852,173.804
14,10,2,1,0.0,0.0,2.659,2.622,5.282,5.282,1956,40,26.680852,173.804
15,10,2,1,0.0,0.0,2.509,2.517,5.026,5.026,1956,40,26.680852,173.804
