iter,maps,reduces,executors,rdd_load_in_s,rdd_work_in_s,avg_reduce_s,twh_reduce_s,iter_total_s,mapreduce_s,avg_count,twh_count,overall_avg_load,overall_total_work_Wh
1,10,2,1,0.0,0.0,4.663,4.278,8.941,8.941,1956,40,26.680852,173.804
2,10,2,1,0.0,0.0,3.579,3.767,7.346,7.346,1956,40,26.680852,173.804
3,10,2,1,0.0,0.0,3.093,3.774,6.867,6.867,1956,40,26.680852,173.804
4,10,2,1,0.0,0.0,3.071,3.58,6.651,6.651,1956,40,26.680852,173.804
5,10,2,1,0.0,0.0,3.01,3.597,6.606,6.606,1956,40,26.680852,173.804
6,10,2,1,0.0,0.0,3.033,3.313,6.346,6.346,1956,40,26.680852,173.804
7,10,2,1,0.0,0.0,3.256,3.217,6.474,6.474,1956,40,26.680852,173.804
8,10,2,1,0.0,0.0,2.859,3.043,5.902,5.902,1956,40,26.680852,173.804
9,10,2,1,0.0,0.0,2.702,3.316,6.018,6.018,1956,40,26.680852,173.804
10,10,2,1,0.0,0.0,2.811,3.124,5.935,5.935,1956,40,26.680852,173.804
11,10,2,1,0.0,0.0,2.73,2.998,5.728,5.728,1956,40,26.680852,173.804
12,10,2,1,0.0,0.0,2.696,3.042,5.738,5.738,1956,40,26.680852,173.804
13,10,2,1,0.0,0.0,2.868,3.247,6.115,6.115,1956,40,26.680852,173.804
14,10,2,1,0.0,0.0,2.814,3.148,5.963,5.963,1956,40,26.680852,173.804
15,10,2,1,0.0,0.0,2.761,3.225,5.986,5.986,1956,40,26.680852,173.804
